Reviews,Labels
"I had bought livpure glopro++ water purifier about 8 months back. The price of the filter is pretty less compared to other RO filter brands like kent, aquaguard, ao smith, etc. The reason I am rating it low are:
1. They do not provide all the required parts in the kit that they are selling in amazon. I had to pay Rs. 1300 extra for the iron filter which is practically the first filter required in any RO filter and fitting pipe which will be connected the inlet.
2. The 1 year service warranty is for repairing of any eletcrical fualts. If any of the 6 filters fitted inside malfunctions , you have to pay for the spare part
3. Even though you get 3 free services within warranty, then won't do it proactively which is generally done by other companies where they clean your filter.
4. You won't get any complimentary filter change. Even the basic iron filter, within the warranty period won't be chnaged
5. My filter malfunctioned and when the service person came he said that two of the filters were malfunctioning and needs to eb changed. Surprisingly, I had to pay for the parts since these were not covered under warranty.
They will ask you to take and AMC which will cover the charges for all filters and parts but it will cost you ?5500 Per year. You can do the math and understand that the overall cost will be at par or more than other brands if you for this.Therfore, buy a kent, aquaguard or other brand but not livpure. I guess the rental option is better for Livpure. You get free maintance and repair and pay for the volume of water you consume.",0
"My initial impression is that it has an aesthetically pleasing body structure, enhanced water taste, and quiet operation. The build quality is also commendable. I recommend considering it.The installation fee is ?1050, and while the installation itself is free, there is an additional cost of ?1000 for the external filter.",1
It is good but this one basic model...better buy high-end model...,1
"Writing this review after using one year, this product is nice in this price range. Best part is that livepure service is awesome. I'm very happy to buy this product.",1
"Crons: high noise level while filtering
No water level indicator (shows only when full)
Water storage is done on plastic. But didn't look high quality and finishing..
Taste enhancer the control should be outside.",0
It's a good product. Can improve the quality of tap for taking water from filter. Easy to break.,1
"I really liked the service.The livpure glopro++ is the really good.You can see the difference in the water, due to some construction work in our neighbourhood the water in the bucket is the water we've been getting and it was challenging our health. I found this RO and I'm not getting regretting it, just look at the water it filtered. And yes The taste has enhanced, as mentioned.
Thank you Livpure.",1
"I have ordered past month of this product but they dilivered poor quality and copied product .Finishing is not good and scraches on front and very light weight product.
And second time ordered anather account of this product so this products finishing is very ossom and hi weight product and packaging next level.So must buy but any doubts first return.Thank you",1
"No TDS adjuster and no installation manual and warranty card inside the box as mentioned during sale.
The cover had paint marks on the inside.Hope it's new. My earlier Pep+ model did not have such issues.",0
"Very decent product and working is very good.
Happy with the outcome.",1
Water output is pretty good considering the investment. Also the noise coming out of it is pretty low.,1
I would say this is the best purifier from livpure and best for middle class families,1
"I am writing after using 1.5yr around . Worst product. No service support . Whenever we call for service request we have beg behind them . But after warranty time period they spoke well and made us to take AMC for 4.5k . After that again original faced revealed . I requested for service request . Machine not working asked to come around 15days it is now ( 2/04/24) agent saying no spare parts .so wait .got exhausted .
Never purchase these type of items .",0
"Well Free installation..
Additional filter was costly,you should buy it from market
Since 2 months... performing well,,better water taste.
Sufficient storage capacity, it wastes about 3 times water during filtration.
I will review it's Performance and maintenance later.... after using it for year or more",1
"Nice product, working properly. Easy to use. Excellent delevery and installation .",1
Water quality of ro is good now how much longer filter membrane work.,1
Ease of use.. Faster installation good quality,1
"Good product, servicing is also good
Must buy",1
very good product and service....#Livpure,1
4 month ho gye abhi tak to shi chal rha h...product ach h jarur le,1
It's operation is very simple. Taste of the water is fine.,1
As of now the product is working absolutely fine. We shall recommend to buy it,1
"It's been 6 months since I'm using this water purifier. I had to install two pre-filters separately which coasted me around 600. There are few points i would like to mention about this-

1) Water Quality and Output: Sometimes we gets dirty water (little bit yellowish) at my place. The water purification of this water purifier is good and I've no doubt in that. It has 7 liter inbuilt water tank which takes around 40-45 minutes to fill it completely. TDS of water can be adjusted by service engineer.
2) Water Wastage: It wastes around 12-17liter water in process of producing 7 liter filtered water.
3) Warranty: This is where I got fooled. This water purifier comes with 1 year domestic warranty but please be aware that Internal filters such as Sediment Filter, Pre-Activated Carbon Filter, Anti-Scalant Cartridge, Reverse Osmosis Membrane, UF Cartridge and Post Carbon Filter are not covered in warranty.
I got to know this when my water purifier stopped working a month back and I contacted customer support. Service engineer replaced sediment filter which costed me 550/-. While purchasing water purifier from local market comes with full warranty including internal component.
4) After Sales Service: Service support team is good. No issue in registering service requests and follow ups.

Conclusion: Keep the warranty related stuffs in mind. Other than that everything is okay and good going.",1
"I recently bought the Livpure GLO PRO++, and unfortunately, my experience left much to be desired. In a market where water quality is paramount, the absence of this crucial feature is a significant drawback. Without TDS control, the purifier fails to fulfill its purpose. Overall, I am very disappointed with Livpure GLO PRO++. The ideal TDS for water should be between 50-70, but in this purifier, water TDS is BETWEEN 10-14, which is very harmful. Any purifier that lacks a TDS controller should not be bought. It is the responsibility of manufacturers to make the TDS controller feature mandatory.",0
"Best purifier to buy, we have been used this from 1.5months now. I must say everyone should go for this product without thinking for a minute. Really this product is value for money.",1
"Do not have inbuilt TDS Adjuster, you need to pay extra while installation for this",0
"Initial installation process was smooth no problems for 6months after that filtration went slow because of dust in filter candles service advisor came & solved it later on last before warranty expires i made another service everything was normal. now in 15th month filtration went slow & very late filter process was going, complained & checked by agent he said TDS machine has failed, you need to change this machine then only it will work normally. This is Livpure water purifier utterly dissapointed by item. Almost all RO Water purifiers are working same",0
"The adoptor was found working erratically..intermittent on and off indication of mains power despite being plugged in. There was no manual supplied gor guidance. The Technician wanted a preesure control valve to be inserted between supply pipe and RO inlet owing to high pressureed water in the multistoreyed apartment . There is no guidance for this in the website or any manual(not provided). He wanted to charge 1600 INR for this.
Most importantly as the RO was not working properly owing to defective adopter The technician did not measure/demonstrate the TDS. But surprisingly without my sharing the OTP the installation is being shown as installed satisfactorily.",0
"One of the best budget friendly water purifier. Performance is good and water taste is good.

Pros:
- Budget friendly
- Best in RO segment
- Feature wise good

Cons:
- No pre filter added with the product, need to purchase separately",1
"Do not buy this product,service ver bad and within 17 months pump not working",0
"Installation done well, the guy explained everything,water taste also good.",1
Product quality is really good affordable price with good quality,1
While purification it sounds loud .... Not expected like whatever expectations.,0
"Ya good, but some times sensor issue.",0
Quality is good.I am happy with this product,1
Nice product of low cost budget,1
This really does the job. No taste issue too,1
Best purifier in the budget i got it for 6600 and installation was completed in one day of the delivery,1
The filtration system is excellent brings down TDS level from around 400 to 30-40,1
"I would suggest this water purifier as it is one of budget friendly water filter which will be enough for a family of 3.
Go for it.",1
"Company is cheting by not giving the external filter.
And the service guy charged 1200 rupees for that.
So customers careful while buying. Water teste is also acidic. Not happy with the purchase.",0
RO is OK but need to install TDS controller separately which cost more than 1000 Rs and after installing TDS controller that is also not working properly. TDS is getting decreased continuously.,0
"One of the worst buys in Amazon so far. It’s not Amazon’s mistake but the Livpure installation team which is very poor and pathetic. After receiving the product from Amazon, I got the message from Livpure regarding the installation but the installation person didn’t show up as per the schedule. When I called the technician, he said someone else will visit but no one visited nor called. After 2-3 days of follow up with customer care none of the area coordinator or his boss could solve the issue. When they are ready after getting free after 5 days, they are calling and asking for the installation. Just think if the brand has a support like this and you go for the product with what confidence of support  I made decision to return it instead, we rely of customer service and support not only the brand. Guess what all this has happened in Bengaluru and now consider how the support will be in non metro cities. Please consider these points while buying. Just sharing my worst experience.",0
Water qulity Best Best... Ease to use.. Best desighn,1
Good products I am happy ,1
Pre product for the people looking under a tight budget and the best is the installation person is very friendly.,1
"Sofar this is a good filter. While installing with livpure agent, filter is not included in the box. I have paid 1700 RS (1200 filter and 500 for pressure tube) for filter and pressure tube with free installation. But livpure filter is around 800 rs online. Not sure why they charged 1200 rs during installation.",1
Working as Expected. Thanks to the fast delivery of Amazon installation was done by the company man on the next day. There were no hiccups and I am happy with the purifier. I will write an update after using it for 6 months.,1
Nice product only problem we faced delay in installation .,1
"Reasonably priced and installation was done next day. TDS output coming as 45 for our input water of 225. May need to adjust after some days.
Only issue is with the tap design, it's handle not properly kept, so when fill the water and close it water touches down part of lid and spilling. Kent has simple and upside tap.
Company need to change their tap design, except that everything looks good and taste of water also good after purification",0
Good filter & water taste is good. Service also super. Recommended product,1
Long life working this product. Very nice.. And very taste the water..,1
Go for it! Value for Money!,1
"Product is okay but after sale is very bad.
Recently my RO was serviced by there technician and product was under warranty.
During service, it got cracked by technician and since crack was in middle part of tank and not easily visible. I didnot observed untill it started getting leakage.
Additionally he keeps on asking for buying ACMC for next one year for which i have paid 5500/-

Now getting is repaired is getting costlier as this is not easily available and they are not able to cancel ACMC as well. There service manager won't pick the call as they know if they are getting call, its for complaint only.

So i will suggest to not buy if you don't want to struggle with after sale

Edit 1: Resolving your issue with Customer Care or service Area manager is very tidious. If you want to cancel or need support, they will simply delay the process. I want to cancel ACMC purchased during service and they are not able to cancel. They are just buying time so that once ACMC gets applied to my account, then they will say its already applied.

Edit 2: After following up from last 15 days, now they are saying its applied and call Service manager, but he didnot received the call. Got fooled by them. I will say avoid this product or try not to get another ACMC. Better go with some other product than this",0
I only completed one month and product has been started leakage problem no exchange policy no warranty all the technical visit and ask for money. Getting no support from the company Manufacturing defect.,0
I would like to return this product and apply for refund.,0
Water quality from livepure water purifier is very good. Can feel the difference in water taste from this and the one i am having already. Highly recommended,1
"I began using this product since 2 weeks. It has got leakage issues. At the time of installation I asked the staff whether it's a company product (water filter)? He said yes! And charged 800/-.The water flows frm the white water cylinder. The service guy fixed twice, still it's leaking badly. Very frustrating.water is sprinkling out n spoiling adjacent objects. It makes sounds like exploding with high pressure. This is soo disappointing. When I called the service guy, he told me to register in the app to fix the issue. I couldn't login in to the app. Not responding properly. Return this product after checking right after u get. Don't delay! After following up for weeks the staff has promised to replace with COMPANY WATER FILTER as it was their fault. After fixing the COMPANY WATER FILTER labelled with ""LIVPURE""(original filter) he charged 1000/- again. When asked he was arguing, manipulating and demanding us to pay. So we paid half of the Amt. It's been few days so far their's no issues. PLEASE! DON'T GET FOOLED BY THE STAFF, YOU CHECK YOURSELF & IF NOT SURE ABT ANYTHING RELATED TO THE PRODUCT, DO NOT HESITATE TO CALL THE CUSTOMER SERVICE TOLL FREE NUMBER. the allotted local staff are fooling customers n earning money in an unfair way! Otherwise the product is working good! Purifier is good so far! No complaints abt the the products.",0
"Best of all I liked the price, it's so much cheaper than other RO filters. The design is sleek. But the only problem I find is that there's no way to see how much water is there inside. I bought it for my mother, and she, being forgetful, often doesn't switch it on and they run out of water. A transparent window to show the level of water would be a great improvement.
Otherwise, so far, for the past few months since I bought it, it's been functioning very well, and the water is pleasant to drink.",1
"Good Test, good look, good service. Love it..",1
"Value for money
Decent water taste
Improved water PH LEVEL
INSTALLATION SERVICE IS GOOD
HOPE IT LASTS LONG …",1
good quality ro but livpure do not provide 1st main candle that has to buy seperately,1
"Delivered product was not working properly since day 1 onwards, I am facing so many issues within short period.

Below i have mentioned the issues:

1. Water is not coming.(At the time we raised ticket on this issue, service person came and fixed it, after 30 min again facing same issue).

2. Mother Board & Sensor light Issue.(After raised another ticket service person visited and he confirmed because of board issue water is not coming, So after 10 days he came with the new board & Sensor light spare parts to fix this issue and replaced with them but again we are facing another issue).

3. Front side indication light board is not working.

Within this 1 month duration we are facing so many struggles with the different kind of issues, my parents are aged and we are fully disappointed using this product, even though my neighbor's also asking to my parents in my apartment, why they are coming frequently due to this issues because they are using water purifier's since long back onwards without any issues.

So, finally I tried to connect Amazon support team, and requested them to replace the product because it's a new product and also facing so many issues within short period, but they won't give replacement and also they suggested me to connect livpure service provider team and ask them to replace the product, as per Amazon support team guidelines, I connected with livepure service provider team and requested replace my product, but they told me we are not providing replacement Amazon only provide you the replacement.

Finally as per my understand, both of them blaming each other when I am connected with them and also wasting my time and effort and also I felt I loss the money.

They are not understanding customer pain, this was not fair at all.

If I am not getting replacement of this product I am planning to complaint consumer complaints portal, and also need to inform all my friends and colleagues don't buy this product through Amazon.",0
"Liked the product.service agent said to purchase one more filter which will be fixed outside for which he would charge 1000/-,but I rejected to do so.",0
"Good product and purifies water well. One thing is that the delivery associate asked to install an extra filter, which we got installed. However, we later realized that the manual and the box both state that no additional filter is required to be installed with the purifier. Hence reducing 1 star in the rating.",1
There is some noise,0
"- At the first glance, You will be disappointed by its looks. It is no where related to what it is shown on product page. This looks cheap China bazar plastic material made out of thrown out plastic buckets. Evenmore cheap is the copper color designs on that body. I am now worried what the plastic quality they might have used for the Plastic water tank inside.

- The rotating round water tap irritates you always because you don't want everytime 2 hands working for a glass of water. No Tray to keep glass.

- Water flow is very slow. Do the dumbbell exercise with the bottle/glass while it fills.

- The noise while it purifies water irritates so much. I had to switch off everytime after filling its tank and turn on when empty. Other wise, every single glass you take out, it irritates with noise.

- The water wastage is same as other purifiers and I don't complain much on that nor even happy about it.

Finally, I wanted to return this product but not possible. Amazon arranged Livpure technician visit to check my complaints. I complained only about Noise and Water Flow. He simply said, ""You might have used other brands before but Livpure has these problems common sir, these are not problems sir. I am visiting many homes and all are saying only this. We cannot do anything sir. It is like that only. Cannot change tap, cannot control noise. It is acceptable as per company"".

Finally could not return and struggling to use it for the last 20",0
We haven't received pre sediment and carbon filter and guarantee card and manual in this package.The installation also late.Thank you.Please send those.,0
"Livepure purifier is good. But after sale service is not good ..They will not properly track and assign service.

Even they call you and ask to rate if you purchase newly this is because of the rating balance....",0
Product quality is very worst after 4 months of uses that it's stopped working and not able to identify the problem and asking me to pay Rs6000.i had very bad experience I will not recommend to go for it. Ok,0
I liked it but no seevice provided by company no filter change timely .it is very bad to say that no free service was givenduring nine months passed,0
Thanks for amazing product and thanks for Amazon team sent to good product really fantastic .water is very tasty and healthy thank you all,1
"Nice product, it has all the nice factors. And the features as mentioned and received are matching, I got satisfaction. The taste of water is very good, and the taste of minerals is also found. Look very nice.",1
"I love the taste of the water, quality is good and the product is cool as per the view.. keep going for this one  you won’t regret it",1
"Best in service, Water Quality .Only faucet little harder ,Sharper or Faucet colour (coper) shiny Ness wanish withing one r two use .",1
"
Product was delivered on time by Amazon and installation done by Livpur person within 2 days.The taste of watervis also very good.Highly recommend.",1
"Installation is hassle free. Water TDS level drop from 1900 to 130. Water Taste is good
Got one day installation service, easy process.",1
Good product ever and easy to use their was no defect at all ....,1
"Installation was quick. Did not face any problem, aesthetically looking good for my house",1
"Product stopped working after 2 days. The product doesn’t work unless you purchase the initial Rs 1100 filter and then the person who came to install is only interested in selling service options. So basically the 13000 you paid is useless unless you pay these guys 5000 more. Even after doing all this, the product stopped working after 2 days and we are chasing the installer and amazon to correct this junk product",0
It's been a year I'm using this everything is good about water filter but the service is worst no one came to do the service I have asked customer care and they too didn't respond it's like a waste of money as the filters need to be replaced but I don't know where to contact as no one is replying .,0
Not a worthy product,0
"Worst Ro filter.Makes alot of banging sound, filtration time is very high and water wastage is also very high.Not recommended this brand under consideration to buy.",0
Please do not ever buy this product,0
It's working as expected. Nice product. Nice built quality as well. Water purification is as expected. Less wastage of water.,1
"Satisfied with the product and service. Super quick installation.
Substantial TDS deduction. One of the best water purifiers in the market.",1
Good product and service. Must buy product. Easy installation and copper added water with added minerals and good storage capac,1
good product and good company I am satisfied with this company...water taste is good ..clearence is good..installation is very fast respond,1
"Best water purifier in this range . Must buy...
Livpure is a good company in water purifiers.
Thank you ",1
"Good product................
Water taste is good.. Taste of Copper..
Well spend money...
You can buy without any doubt.
Go on",1
"The Livpure Bolt Copper+UV+UF Water Purifier is an excellent choice for homes relying on municipal water sources. Its innovative combination of copper infusion, UV sterilization, and UF filtration ensures thorough purification. The copper infusion aids in eliminating harmful contaminants, while the UV sterilization technology neutralizes microorganisms effectively. The UF filtration system removes suspended particles, enhancing the taste and clarity of the water. With its compact design and user-friendly interface, this purifier is a convenient and reliable solution for clean and safe drinking water at home.",1
"The idea of eliminating RO is major enticer. Copper bolt adds value to drinking water.
Simple operation, auto stop at full storage and easy to dispense.
Needs less water pressure than RO purifier.
Means good quality at less operating cost...
Very nice",1
"Leakage and Bad after sales service during installation.
Update: Issue was resolved within a week of installation. New guy was assigned the installation task. Product is now working as expected.
Update 2: Product stopped working after a year due to internal parts getting damaged somehow. The parts that must be replaced are costly. Hence, do not recommend it for people looking for durability, built quality & low maintenance.",0
"Great product, have been using it for 3-4 months and it's working fine",1
Works well. Water tastes good too. But the flow velocity is quite low. It will annoy you if you are filling 3/4 bottles at a time.,0
"Outstanding addition to my kitchen. It's design is sleek and stylish. It's UV+UF ensures pure, clean water and copper enrichment noticably improves the taste. Overall, it's excellent value for money. I highly recommend this top-notch water purifier. Five stars well deserved.",1
"I've been using livepure water purifier earlier also, this new purifier I've got installed at my new apartment. The taste of water dispensed after purification is good and safe. The engineer who came for installation was very good he was very polite.",1
"Service is not good, Purifier is not working few days after installation. We need follow up with customer service and technicians multiple days. Overall Experience to setup take a week or more to working condition.",0
"Con..Just it takes an hour to fill the water tank. I didnt opt for the pre filter because my TDS LEVEL was below 170
Cons after 6months customer service says as it's online purchase the change of sediment and carbon filter is chargeable. If it's a offline purchase it's non chargeable. I don't understand there logic. In both case is written comprehensive one year warranty",0
The product stopped working after 3 months. The service agent said the filter is damaged he fixed a new filter yesterday and today again it is not discharging any water ... Please be aware the filter costs 350 and annually there is cost of 1800 for membrane,0
"Overall good experience with product, having storage capacity is plus point. But with product additional pre-filter suggested by service technician for long life and better performance on purification, suggestion to purchase or include it with main product",1
"1. Sent used product
2. Installation took week time to come
3. Live pure customer care are rude
4. Amazon customer care is helpless
Lost money and also left with used product which is not working at all. Amazon large appliance team services sucks",0
"After 6 month they unable to filter the water and I will lodge the complaint about service they don't know what is the time duration of change the filter. And not any indicator to describe purifier is working or not.
Most important thing is that they have given 2 free service without filter change. They charge for the filter replacement so guys please don't buy this.
Worst product",0
"The machine stopped working right after 2 months and the issue is not addressed by the company.
Delayed resolution of the same.
However, resoleved.",0
"Suitable for low TDS level water as it does contains RO. Still works fine
Writing after 9 months after purchase RO works well but no any free service given by company whereas rate is very high. Tap does not fixed properly which slips repeatedly which is a very bad modification I don't like",0
"Good experience with the overall process starting from delivery by Amazon to installation and post sales service.

Good water filter , without ro and without wastage.",1
Easy installation and easy to use not have any idea about maintainence cost in future,1
If your drinking water is naturally good then buy this because you want copper drinking water… if not then don't buy this because it has no RO.,0
"This is an awesome product to buy if you are a family of 3-4 people. Storage capacity is good.

One thing that I'm a bit disappointed with is it's filtration speed. Once I observed, it took about 30 mins to fill 7 litres of tank. It might be due to low water pressure at that time. But still I feel, with good water pressure also, it's filtration speed is less than what's mentioned in product details.",1
Water purifier is not upto the expectation and found nonfunctional several times since its installation. I will complaint through email.,0
"Still today i am facing the same issue of sensor problem. Product is not in working condition at present also. I have submitted just now pic as an attachment. It is keep on failing from the date of purchase i.e, from 13th oct 2023. I wll strongly suggest to not to buy it from amazon..and even u should check this once with livpure outlets also before buying..",0
This purifiers water level is not suitable in my area.,0
"Update: After 1 year of usage writing this to let you all know that do not buy any Livpure product, their after sales service is very very very very poor. I bought their annula maintainence contract for 3 years and since then they haven't provide service to the unit. The service request was raised on March and now it's May, no one cares at all.. Their customer care call center is absolutely bogus... Just kept you waiting for more than an hour. No one replies to email as well. Your request is in just limbo and it is absolutely waste of money, time amd energy. Please don't buy.

Update : I was contacted by Livpure team wherein they explained regarding storage tank and noted the suggestion for future. I appreciate their after sales service efforts for customer satisfaction, in case of any further issues they even assured their support.

I took 1 star as storage is not exactly 7lts....it's 6.25 or something.
Apart from that it's just awesome, installation was hassle free and every detail was explained well. Water tastes nice and soft.
It takes 27 to 30 mins to purify water which also good because this time is essential for entire process.
Overall it's great and you can go for it.

P.S. RO is not essential if you receive municipal water so please avoid buying it.",0
The stirage capacity is sufficient also the water is well purified installation was very easy,1
"I really loved the product, The purification of water is too clean and the taste of water is also as like bisleri water.
100% worth purchasing.",1
"Product works really well and it's easy to install, plus service of Livpure is really great they call and check from time to time and if there is any problem it gets resolved within 24 hours",1
Installation took little time but the product is excellent. The company has high standards you can feel when product is installed. 100% go ahead.,1
"It's a very good water purifier. Its works great for tds upto 200. Water tastes good. Installation if free of cost.
Please note it does not come with pre filter sediment.",1
"It's easy to manage and operate. Look wise, it appears quite good. Clean water is a priority for good health and fitness. The water looks clean and feels pure in terms of taste.",1
"buy it, if you are not so particular about Bisleri taste( Don't know what RO level they are at). Overall i will say it is a good product, reasonable taste..Customer service is great amazing. Overall 4 star",1
"The taste of water is good, very prompt installation service from livpure and also the filter is working fine as expected in the initial month use.",1
"Nice product and service from livpure.
Post delivery installation was done very next day and till now it's all going well.
Thanks Team",1
"Product is very good quality
Service is very good and fast
Price very very reasonable
Thanks live pure for quality Product and service",1
"The installation was smooth. The technician had good knowledge of the product and did a good.

The product is working well since installation. I am happy",1
A lot of scratches on the product see images,0
Bad brand service,0
"Never buy this product from amazon. First of all it came without warranty card and the item was defective. You have to call the livpure service 100 times after that they will pick the call. Livpure has the worst customer care and worst service technician. They don't even know the basic things. They have installed the defective item and water is leaking. I have been calling them since last 3 days and the only response you will get is please allow 24 to 48 hours. Their 24 to 48 hours never passes. Please never buy this product.
I am going to return this product and will never purchase anything from livpure again.",0
"Purifier does not leak, build quality is fine, since it's UV only cannot measure ppm change or filtering quickly. Pre filter is additional if required you can buy from installation person.",1
"It's been a year of usage after which I'm writing a review. Purifier works fine, installation wasn't that great. Till now there's a part that needs to be attached that hasn't been provided which is leading to water dripping.
Coming towards taste just keep in mind there is no change in water as such .So, it can be good or bad depending upon the taste but after-sales service is worst literally an engineer visits after 10-15 days after raising a complaint.",0
Like product and referral to my friends as well,1
"I feel it's a value for money product at this price range.

Pros:
Adequate storage capacity
No waste water
No problems after months of use
Good customer support

Cons:
Does not improve bore well water taste. If TDS is above 150, it might be better to go for RO.",1
"Livpure Glitz is a quite good water purifier. I chose this after watching some Youtube reviews. As my water supply is quite clean I had no need of RO system. I just wanted UV and Filtration. This product quite fitted in that area.
It has around 7 litres of capacity which is good for home purposes. But the flow is very slow. It takes around half an hour for filling up fully. Not a big problem but worth mentioning.
After a few days of use, my wife still complained about a Plastic Smell from the water. According to her, the smell remained for quite a long time though I couldn’t find any such smell after 2 days. May be she has higher smell sense and I’m dumb.
But after a few months, I tricked her by giving water from Purifier and she couldn’t smell anything. So may be it was psychological for her, I dont know.
Apart from this Plastic Smell for a longer period, I had no other complaints.
The service is also quite good and widespread in the country.",1
"I am writing to express some concerns regarding the recent installation performed at our premises.
Moreover, we have observed discrepancies in the water quality following the installation. The raw water TDS level was below 100 before installation, but post-installation and purification, it has increased to 128. This raises doubts about whether the installation was carried out properly.
We would appreciate it if you could investigate these issues and provide a prompt resolution.
Looking forward to your prompt response.",0
"Installation was free yet I have to paid INR1100
This should be made clear to customer in advance.",0
"I have used 2 aqua guards in last 20 years and was very satisfied. But now it was time to try out something different. With the high quality corporation water supply with TDS of around 150ppm, I just needed a UV+UF storage filter with a capacity of around 5-10 litres. Livpure Glitz DX seemed just the right product for the purpose with 7 litres of storage, automatic top-up after 2 litre depletion, gravity based water dispensation without power. Storage compartment is well protected from external ingress of dust, tiny flies and the likes. And the external body of the unit is easy to clean - just wipe with dry cloth or lightly hoisted shammy.

An external sedimentation filter included in the price would have earned a 5 star on the 'Value for money' rating. In summer months Indian families use 'matka a' or earthen pots for drinking water. A tap with a T joint to pipe into the earthen pot would be a game changer as currently we find ourselves filling bottles from Glitz and transferring into the 'matkaa'

In 1 year, if the tap hasn't broken down/leaked and the product performs as good as it has after a month, I would be happy to raise the rating from 4 to 5 star.",1
"Initially it took some to switch the taste from a RO water filter to this ..as we are having now municipal water , there is no point in using RO water filter , and overall ,it's a good product ... Taste of water is good ,service is good ..",1
"The water supply at my place has TDS in the range of ~120 to ~250. Based on the WHO's permissible limit of ~300 PPM, I got my RO unit replaced by this UV+UF unit.

The water taste is obviously different as the TDS of filtered water is now same as supply water. The tap flow is much faster as compared to our older RO unit. Refilling is also quite fast.

Hope it is not too late for our bodies to adjust accordingly.",1
Customer service is pathetic. Filter does not even last a month. Warranty covers service professional visit only. None of the parts are included in warranty. DONT BUY LIVPURE.,0
"Good water purifier with economical price. Tank capacity is sufficient and also have led indicator for tank water label.
Only thing which I don't like is external filter rate which is 800. I found it costly. It's available in 300 RS in the market.",1
"Technical aspects: If you get supply of corporation water then RO is useless.
Is been 3 months i have been using this product . Quality is same as my last candle filter though i have not checked with TDS meter.
Installation guy tries to sell external filter. please do not buy that filter. Its non branded and they just want to sell.
No value addition in terms of filtration capability of the same .
Suggestion to the company and service guy to inform and know at least the micron size of the different filters and educate the customers for better trust in the product.
There are internal three stages of filtration which suppose to be enough for the pure drinking water + Infrared. Not aware whether infrared works or not.
Most important - When you get warm water it means the filter got clogged and you need to clean it. Cleaning is very simple by the process of reverse flushing of the primary filter. No need to call the service personnel as they charge extra for such visits.
will update the review after a year of usage.",1
Best Water Purification ever.... Installation done Properly...,1
It's been 06 days and the installation package was automatically cancelled by livpure. Amazon customer care couldn't do anything about it. Think twice before you order livpure.,0
"Last week i purchased this livpure product from amazon, and next day its stopped working. I raised the complaint and its been more than 4 days but no technicaian visit happened after muliple followups with call center, pathetic service and bad quality product. I am regretting on my decision to go with livpure.",0
Worst don't buy,0
"Water leakage, missing parts, worst customer service.",0
"Livepure has one of the worst after sales customer support one can ever have, i literally had to call there support team multiple times for getting it installed where tgey just lied for 4 days stating tecnician will come today you will get a call in 2 hours but niether i use to get calls nor the tecnician came you will have to wait 10 15 mins to get conneted to there call, post tgat also you will not get satisfactory resolution they promised it will installed in 24-48 hrs but it took 100s of calls and more than 4 days to get it installed this is the situation of there service in tier 1 city. Livepure needs to improve there after sales services, the product might be good but there services i experienced is the worst.",0
"We purchased Livpure water filter 4 months back and it started overflowing after 15 days and till we registered 5 complaints for same but still problem persists.
There service attend time is minimum 20 days sec very unprofessional services executives.",0
"Purchased this purifier and got delivered on time. Installation surprisingly happened on the same day.
1. Water taste is amazing. You will love it.
2. Low cost of maintenance.
3. Multi layer water purification.
4. Built quality is Okay.",1
"Yes, it’s a pleasure using this product. Value for money product having bunch of features like quality, warranty and specially purity. Good in appearance, colour and ease of installation.",1
Value for money. Definitely go for it! Highly recommended.,1
"I have received the product with damage. I'm not sure if this happened in transit or it was there way before. However the technician replaced the part that got damaged.
But the product is great. Filtration is excellent.",0
"The product was having leakage issue since its installation and I was not getting and proper resolution from the service team.

However, Sushmita ma'am from livepure helped me out with my complaint and connected me with right service technician (Mr. Anil) to resolve the issue. Now the product is working fine",0
